event,universe,sample,daily_volatility_cutoff,horizon_days,signal_count,tradeable_count,stock_count,year_count,mean_gross_return,median_gross_return,gross_up_rate,mean_net_return,median_net_return,net_up_rate,mean_benchmark_return,mean_excess_return,median_excess_return,mean_net_return_ci95_low,mean_net_return_ci95_high
连续两日放量,当日沪深300,全部信号,0.015,1,7263,7241,593,16,0.0031663102609718946,0.0,0.4883303411131059,0.0015621264656417249,-0.0015991204837338957,0.46471481839524925,0.002461935823652103,0.0007043744373197917,-0.0018640673661221019,3.279612036221832e-05,0.0030914568109212314
连续两日放量,当日沪深300,全部信号,0.015,3,7263,7217,593,16,0.006277485930385074,-7.080892111477333e-05,0.4934183178606069,0.00466832699031345,-0.0016698161728525562,0.47055563253429405,0.0055048066004493934,0.0007726793299356802,-0.0033318846155815374,0.0006714977394006094,0.00866515624122629
连续两日放量,当日沪深300,全部信号,0.015,5,7263,7205,593,16,0.00730782743397576,0.0007606746593455949,0.5095072866065232,0.005697020853700505,-0.0008396622348175731,0.4916030534351145,0.00697774641749426,0.00033008101648150147,-0.004272240298090035,0.001144034070960133,0.010250007636440878
连续两日放量,当日沪深300,全部信号,0.015,10,7263,7195,593,16,0.01103947408184236,0.0015073313056459536,0.5146629603891592,0.009422700148974443,-9.41995824547126e-05,0.49895760945100764,0.00966710726373873,0.0013723668181036288,-0.006308569397910135,0.0020084583605038276,0.01683694193744506
连续两日放量,当日沪深300,全部信号,0.015,20,7263,7174,593,16,0.013722721692173886,-0.00011941132371418028,0.49804850850292726,0.01210165692308936,-0.00171834085435435,0.4894061890158907,0.015102679238747339,-0.0013799575465734497,-0.011059705525581554,-6.021939508590868e-06,0.024209335785687312
连续两日放量,当日沪深300,全部信号,0.01,1,1985,1980,316,16,0.003786264411066187,0.0006807670912498676,0.5015151515151515,0.0021810892343556297,-0.0009194420210844045,0.47474747474747475,0.0029477076778541547,0.0008385567332120326,-0.0011789782294320261,-0.0002583057818708063,0.004620484250582066
连续两日放量,当日沪深300,全部信号,0.01,3,1985,1978,316,16,0.006349242750350029,0.00036908042574013145,0.5106167846309403,0.004739969062477749,-0.0012306302620627707,0.47674418604651164,0.005530729416748804,0.0008185133336012238,-0.002645979461014969,0.000837760965798478,0.00864217715915702
连续两日放量,当日沪深300,全部信号,0.01,5,1985,1976,316,16,0.007201116444097611,0.0022062118637892203,0.5328947368421053,0.005590480507552109,0.0006035633814722718,0.507085020242915,0.007290468181122912,-8.935173702530223e-05,-0.0034635006954601977,0.0012304193873224293,0.009950541627781789
连续两日放量,当日沪深300,全部信号,0.01,10,1985,1973,316,16,0.00701923521234209,0.0018566648874032143,0.5190065889508363,0.0054088901257998935,0.000254575372816479,0.503294475418145,0.007841739361722546,-0.0008225041493804572,-0.004883614596352226,-0.0014727227098009768,0.012290502961400763
连续两日放量,当日沪深300,全部信号,0.01,20,1985,1971,316,16,0.006654075478977983,-0.002570259528429153,0.4774226281075596,0.005044314326845247,-0.0041652698575026514,0.46778285134449515,0.010684478559732055,-0.004030403080754072,-0.007868296870566338,-0.00633271887385821,0.016421347527548705
连续两日放量,当日沪深300,同股至少间隔20日,0.015,1,3955,3941,593,16,0.0032404132964010683,0.0,0.489723420451662,0.001636111001389039,-0.0015991204837338957,0.46257295102765794,0.00249805148935198,0.0007423618070490875,-0.0018308816806935635,-0.00024851530501536576,0.003520737307793444
连续两日放量,当日沪深300,同股至少间隔20日,0.015,3,3955,3926,593,16,0.007038543688205754,0.0006043733468580337,0.5099337748344371,0.005428167725084295,-0.0009957136026748081,0.4847172694854814,0.005432049046086822,0.0016064946421189322,-0.002243774292494116,0.0008210072886672493,0.01003532816150134
连续两日放量,当日沪深300,同股至少间隔20日,0.015,5,3955,3922,593,16,0.007845971761670645,0.0014629962186534229,0.5165731769505354,0.006234304623777768,-0.0001384637723014226,0.4974502804691484,0.006600936108165379,0.0012450356535052647,-0.0036837287695555276,0.001473068861715156,0.010995540385840379
连续两日放量,当日沪深300,同股至少间隔20日,0.015,10,3955,3911,593,16,0.011778300540883767,0.001790952768641496,0.517003323958067,0.010160345135491277,0.0001889683356497418,0.5014062899514191,0.009810050248789797,0.0019682502920939705,-0.0062088073461576965,0.003426622064300093,0.01689406820668246
连续两日放量,当日沪深300,同股至少间隔20日,0.015,20,3955,3904,593,16,0.016590048352558433,0.003570439744976839,0.5189549180327869,0.01496439838267773,0.0019656096979108195,0.5102459016393442,0.016281969927031056,0.00030807842552737667,-0.009175349856388126,0.0035923903075362057,0.026336406457819254
连续两日放量,当日沪深300,同股至少间隔20日,0.01,1,1146,1143,307,16,0.004161704202736111,0.0012421738090282464,0.5153105861767279,0.0025559286525642885,-0.00035893306028811356,0.48556430446194226,0.003350540380978961,0.0008111638217571503,-0.0010014174333068393,-0.000722663832751018,0.005834521137879595
连续两日放量,当日沪深300,同股至少间隔20日,0.01,3,1146,1141,307,16,0.007093819707192832,0.0012469874567992978,0.530236634531113,0.005483355351057148,-0.00035412711011972853,0.49167397020157755,0.0054547045599939075,0.0016391151471989239,-0.002026570183675469,0.0004574645812236919,0.010509246120890605
连续两日放量,当日沪深300,同股至少间隔20日,0.01,5,1146,1140,307,16,0.007798747147544693,0.0022062118637892203,0.5359649122807018,0.006187155527499599,0.0006035633814722718,0.5070175438596491,0.0074171949325022414,0.0003815522150424513,-0.0031308465298321986,0.0012290732236069453,0.011145237831392252
连续两日放量,当日沪深300,同股至少间隔20日,0.01,10,1146,1137,307,16,0.008283625665941692,0.0018790525513028289,0.5224274406332454,0.006671258666725709,0.00027692723614403114,0.5048372911169745,0.009574355937479483,-0.0012907302715377898,-0.005209401605282715,0.00022478153963392724,0.01311773579381749
连续两日放量,当日沪深300,同股至少间隔20日,0.01,20,1146,1138,307,16,0.009754015142920302,0.0008675808304656751,0.5070298769771528,0.00813929681377262,-0.0007329270195456372,0.4947275922671353,0.013742424837851552,-0.00398840969493125,-0.007499684927839145,-0.0020584195136751325,0.01833701314122037
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,全部信号,0.015,1,33389,33325,4311,16,0.0026926925079448234,0.0,0.48699174793698424,0.001089266084464979,-0.0015991204837340067,0.4667966991747937,0.0014072382350745957,0.0012854542728702276,-0.0015206064420608678,-8.547812054956637e-05,0.0022640102894795244
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,全部信号,0.015,3,33389,33228,4311,16,0.004487603564277996,-0.00017574406640702422,0.4903996629348742,0.00288130686176149,-0.0017745835142045085,0.469844709281329,0.003229491494587771,0.0012581120696902252,-0.003305134901020468,-0.000442966143880241,0.006205579867403221
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,全部信号,0.015,5,33389,33195,4311,16,0.004739983906687046,-0.0009146786899872916,0.4894110558819099,0.003133283617595301,-0.0025123364922921,0.47359542099713814,0.004071658400250522,0.000668325506436523,-0.004264056579096898,-0.0013897962859211162,0.007656363521111718
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,全部信号,0.015,10,33389,33110,4311,16,0.00650454481286332,8.882617616556843e-06,0.5003322259136213,0.004895022778281713,-0.001590252070493181,0.48797946239806705,0.005453297910850349,0.0010512469020129713,-0.005796373728961357,-0.0028224058006408193,0.012612451357204246
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,全部信号,0.015,20,33389,32979,4311,16,0.009947431209894443,-0.0006662550129868938,0.49561842384547744,0.008332403585152177,-0.0022643100746821965,0.4879771976106007,0.008583333242328137,0.0013640979675663086,-0.008785750012391569,-0.004154573051113249,0.020819380221417605
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,全部信号,0.01,1,5522,5513,1839,16,0.002458437472326448,0.0,0.4948304008706693,0.0008553856508724779,-0.0015991204837338957,0.4699800471612552,0.001844887780575847,0.0006135496917506009,-0.0012836361848946876,-0.000643469861851271,0.002354241163596227
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,全部信号,0.01,3,5522,5500,1839,16,0.004305020829414259,0.0,0.498,0.002699016098689049,-0.0015991204837340067,0.4678181818181818,0.0031409447145537136,0.001164076114860546,-0.0023432224500863352,-0.0008262030406606365,0.006224235238038734
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,全部信号,0.01,5,5522,5488,1839,16,0.004189456510550526,-5.135638620806793e-05,0.49526239067055394,0.002583636581094802,-0.0016503947448929246,0.47594752186588923,0.003864331772491065,0.00032512473805946157,-0.003696123096637416,-0.0019861239444005727,0.0071533971065901765
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,全部信号,0.01,10,5522,5481,1839,16,0.004524177599598737,0.00028578565715853266,0.5048348841452289,0.0029178224107931756,-0.0013137918322737585,0.4902390074803868,0.005092178251262523,-0.000568000651663787,-0.0049496442823396825,-0.004401305099738425,0.010236949921324776
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,全部信号,0.01,20,5522,5465,1839,16,0.0021082540624698417,-0.0030821158911079616,0.48124428179322964,0.0005057622264796406,-0.004676307700187232,0.4737419945105215,0.005506240011805018,-0.003397985949335175,-0.009053351314300406,-0.011245194155200373,0.012256718608159654
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,同股至少间隔20日,0.015,1,22702,22659,4311,16,0.002874172861287717,0.0,0.48867999470409107,0.0012704562288574466,-0.0015991204837340067,0.4680700825279139,0.0015663450318678343,0.0013078278294198825,-0.0014611355965675754,-0.0001864418745974295,0.0027273543323123226
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,同股至少间隔20日,0.015,3,22702,22583,4311,16,0.0051597987757061835,-2.8525441161830756e-05,0.49594827967940486,0.003552427152058013,-0.001627600309278554,0.4752247265642297,0.003699682564851517,0.0014601162108546664,-0.0027283294159284877,-0.0005322003484071751,0.007637054652523201
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,同股至少间隔20日,0.015,5,22702,22561,4311,16,0.005508920757527789,-1.7276743522920412e-05,0.4978059483178937,0.003900990845767167,-0.0016163695996624927,0.48193785736447853,0.004735751531142596,0.0007731692263851943,-0.004062775209323299,-0.0009593491863689129,0.008761330877903246
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,同股至少间隔20日,0.015,10,22702,22508,4311,16,0.007308014793017804,0.0006152614515472221,0.5061311533676914,0.0056972079131328655,-0.000984842909376893,0.49369113204194065,0.006219349721371264,0.001088665071646539,-0.005855072901943592,-0.0015831740114623117,0.012977589837728043
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,同股至少间隔20日,0.015,20,22702,22425,4311,16,0.011488200848197593,7.360965691494137e-05,0.5010925306577481,0.009870709347165997,-0.0015256285375291334,0.49333333333333335,0.009715287022020161,0.0017729138261774325,-0.007940815712326521,-0.0023553588527751943,0.02209677754710719
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,同股至少间隔20日,0.01,1,3997,3991,1799,16,0.002478720993165176,0.0,0.48834878476572285,0.0008756367359175521,-0.0015991204837338957,0.4655474818341268,0.0019405021343014768,0.0005382188588636993,-0.0012392192469259378,-0.0009836261687029653,0.0027348996405380695
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,同股至少间隔20日,0.01,3,3997,3980,1799,16,0.004675430699126015,0.0,0.49874371859296485,0.0030688336383907716,-0.0015991204837339512,0.46733668341708545,0.0035041072803555845,0.0011713234187704306,-0.0019437875638085855,-0.0010517139065555478,0.007189381183337091
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,同股至少间隔20日,0.01,5,3997,3971,1799,16,0.004516041120658002,-7.973579267439579e-05,0.4943339209267187,0.0029096989430625834,-0.001678728769269,0.47519516494585745,0.004352336920724345,0.00016370419993365714,-0.0036968279042157715,-0.0020211763718007035,0.007840574257925871
连续两日放量+第二日整根K线大于实体2倍,全部沪深A股,同股至少间隔20日,0.01,10,3997,3967,1799,16,0.0054338105829672195,0.0003519527337463302,0.5054197126291908,0.0038260007814252778,-0.0012477305648135317,0.4928157297706075,0.005776281765775609,-0.00034247118280838866,-0.004478625484714671,-0.003002119594271741,0.010654121157122297
