sample,year,horizon_days,signal_count,tradeable_count,stock_count,mean_gross_return,median_gross_return,gross_up_rate,mean_net_return,mean_excess_return
当日沪深300，不限波动率,2010,3,1214,1176,304,0.00816240097587012,-0.0001394209302641447,0.49489795918367346,0.006550227829539164,0.0008097917118826252
当日沪深300，不限波动率,2010,5,1214,1175,304,0.010764231111559087,0.004327273242002994,0.5285106382978724,0.009147897325362956,0.00030238937465381445
当日沪深300，不限波动率,2010,10,1214,1157,304,0.013051669459619534,0.0057515017372622435,0.5350043215211755,0.01143167778390574,0.004906381970352501
当日沪深300，不限波动率,2010,20,1214,1172,304,0.0022492232153688584,-0.006064988697007334,0.4812286689419795,0.0006465059527186877,0.0033261501273196045
当日沪深300，不限波动率,2011,1,1065,1052,294,0.0025377450616881096,0.0008547525586403149,0.5066539923954373,0.0009345664178434793,0.0015591628055895014
当日沪深300，不限波动率,2011,3,1065,1047,294,-0.0007522495503639403,-0.002307279639866544,0.46609360076408785,-0.0023501670964330705,0.0007769782279173319
当日沪深300，不限波动率,2011,5,1065,1040,294,-0.002783301844317419,-0.00420236685269515,0.47115384615384615,-0.004377971493059747,0.0005699432091575307
当日沪深300，不限波动率,2011,10,1065,1030,294,-0.004375870684661322,-0.005310780397732029,0.4640776699029126,-0.005967993623949294,0.0001689230003538368
当日沪深300，不限波动率,2011,20,1065,1037,294,-0.030306339276633853,-0.03281225988390102,0.3423336547733848,-0.03185699627244359,-0.009360278933481476
当日沪深300，不限波动率,2012,1,1504,1494,311,0.0022277265087952895,0.0006086256227068043,0.501338688085676,0.0006250436219689251,0.0007038176672476986
当日沪深300，不限波动率,2012,3,1504,1477,311,0.0020840214338307492,0.0004271701624842805,0.5091401489505755,0.00048156834873338,-0.0006026982838359785
当日沪深300，不限波动率,2012,5,1504,1480,311,0.004944837282742998,0.004622008694849411,0.5466216216216216,0.003337809408421443,-0.002624777681518195
当日沪深300，不限波动率,2012,10,1504,1487,311,0.014087897508822453,0.015552467826864591,0.5944855413584398,0.012466248779609357,-0.004706104183949145
当日沪深300，不限波动率,2012,20,1504,1477,311,0.028870758742850538,0.03335325573165848,0.6154366960054164,0.027225470437429913,-0.005283403673916458
当日沪深300，不限波动率,2013,1,1056,1054,278,0.003959092285347038,0.0,0.48861480075901326,0.0023536407360425565,0.002849047406694824
当日沪深300，不限波动率,2013,3,1056,1050,278,0.006217967657132037,-0.0031492250706730562,0.4780952380952381,0.004608903893950325,0.00457289785954873
当日沪深300，不限波动率,2013,5,1056,1041,278,0.0019121364069154525,-0.00843263809396988,0.4197886647454371,0.0003099581866854638,0.0017094257475946542
当日沪深300，不限波动率,2013,10,1056,1037,278,0.0015442363956246574,-0.013312236567432079,0.43008678881388623,-5.73535081613087e-05,0.005054112020619752
当日沪深300，不限波动率,2013,20,1056,1037,278,-0.004883541993396164,-0.021719112418032704,0.4127290260366442,-0.00647485310509534,0.010582918468286873
当日沪深300，不限波动率,2014,1,1783,1767,308,0.0085760680650248,0.003488365563419693,0.5608375778155065,0.00696323341517813,0.00206810184666222
当日沪深300，不限波动率,2014,3,1783,1754,308,0.01477695579538872,0.00519171953193831,0.5621436716077537,0.013154205178955087,0.0015365717185766238
当日沪深300，不限波动率,2014,5,1783,1744,308,0.01971021941653198,0.010337702927248449,0.5802752293577982,0.018079579917190117,-0.0005801296635771421
当日沪深300，不限波动率,2014,10,1783,1734,308,0.031315457347267275,0.016841612817499962,0.6164936562860438,0.02966625967423177,-0.0050067228854530944
当日沪深300，不限波动率,2014,20,1783,1730,308,0.06927375844734981,0.037001860668831044,0.6329479768786127,0.06756386087749743,-0.004590394457784873
当日沪深300，不限波动率,2015,1,886,880,275,0.0072774527149272634,0.00484871578190027,0.5590909090909091,0.005666694707487429,0.0027618119238391995
当日沪深300，不限波动率,2015,3,886,872,275,0.010710064598498234,0.004196344756765447,0.5355504587155964,0.009093817431082674,0.0007060255232470772
当日沪深300，不限波动率,2015,5,886,866,275,0.010749710310027095,0.005540234467502403,0.5438799076212472,0.00913339974434214,-0.0010990783520685855
当日沪深300，不限波动率,2015,10,886,854,275,0.015015475087227318,0.011123333149094305,0.5526932084309133,0.013392343049708346,-0.009858343342793348
当日沪深300，不限波动率,2015,20,886,856,275,0.04318260755092789,0.024819668936020944,0.5572429906542056,0.04151443287491816,-0.007912229590236707
当日沪深300，不限波动率,2016,1,1163,1158,298,0.0010776931532439815,-0.0016129507889920958,0.4421416234887737,-0.0005231506916865411,0.000275926701439917
当日沪深300，不限波动率,2016,3,1163,1154,298,-0.0017619974382674002,-0.006193902403005269,0.4124783362218371,-0.0033583002758055735,-0.0015816593352083288
当日沪深300，不限波动率,2016,5,1163,1155,298,-0.004576833275178468,-0.00909676237635304,0.4051948051948052,-0.006168634851071489,-0.004148455254010083
当日沪深300，不限波动率,2016,10,1163,1147,298,-0.004422409210342406,-0.010144929345227927,0.4149956408020924,-0.0060144577289206885,-0.0061975966601762605
当日沪深300，不限波动率,2016,20,1163,1150,298,-0.012426199331342954,-0.021070088215788763,0.391304347826087,-0.014005448825191232,-0.010053295858509425
当日沪深300，不限波动率,2017,1,1092,1089,283,0.0034021004999013746,0.0,0.4967860422405877,0.0017975396475702697,0.0027593908765932763
当日沪深300，不限波动率,2017,3,1092,1086,283,0.0016471790183894524,-0.0027728032259833335,0.4604051565377532,4.542449694678081e-05,0.0009687395921419066
当日沪深300，不限波动率,2017,5,1092,1084,283,0.0006759745316088375,-0.004368559596324928,0.44280442804428044,-0.0009242269168451303,-0.0005418461027203771
当日沪深300，不限波动率,2017,10,1092,1077,283,-0.001035208064092883,-0.0068902462253488395,0.44103992571959144,-0.00263267312540666,-0.005099711609830737
当日沪深300，不限波动率,2017,20,1092,1071,283,-0.003355361419843227,-0.01611226355010109,0.42296918767507,-0.004949116276400412,-0.012991002130566844
当日沪深300，不限波动率,2018,1,830,828,262,0.004621867493037518,0.00047404389380900636,0.5024154589371981,0.003015356086322301,0.003177986062234489
当日沪深300，不限波动率,2018,3,830,825,262,0.003401204348552665,-0.001754412802147498,0.4860606060606061,0.0017966449292755365,0.005206269074127629
当日沪深300，不限波动率,2018,5,830,824,262,0.0005738208296089953,-0.0026816035924060455,0.47451456310679613,-0.0010262172627676155,0.005030350121721962
当日沪深300，不限波动率,2018,10,830,827,262,-0.0006807266200660352,-0.0017411503683431029,0.4909310761789601,-0.0022787585399180583,0.010484192959878312
当日沪深300，不限波动率,2018,20,830,821,262,-0.020707081281705078,-0.02859103520949202,0.37880633373934225,-0.022273088647603148,0.006676152566952688
当日沪深300，不限波动率,2019,1,1423,1422,292,0.0012102642863421498,-0.0015302470350312403,0.4571026722925457,-0.00039079155580286465,0.0008257496574964227
当日沪深300，不限波动率,2019,3,1423,1422,292,0.008420350201932233,0.0018370226202532036,0.5189873417721519,0.00680776456371012,0.00014305472329732304
当日沪深300，不限波动率,2019,5,1423,1421,292,0.015593981618873216,0.006550180520496607,0.5545390570021111,0.013969924479709517,0.0008995136875906702
当日沪深300，不限波动率,2019,10,1423,1421,292,0.025713141905515942,0.013063047837476915,0.5798733286418015,0.024072903009859682,0.0027661367735100076
当日沪深300，不限波动率,2019,20,1423,1421,292,0.029296835131202653,0.012488227135558194,0.558057705840957,0.027650865478301777,-0.00668264202661563
当日沪深300，不限波动率,2020,1,1199,1197,278,0.003972812714062464,0.0,0.4853801169590643,0.002367339224139376,0.00010148552914795035
当日沪深300，不限波动率,2020,3,1199,1197,278,-0.00011309381561498348,-0.007590939163680699,0.4344193817878028,-0.0017120334487118385,-0.003700086563042597
当日沪深300，不限波动率,2020,5,1199,1196,278,-0.00046734017691422243,-0.010460428083954032,0.431438127090301,-0.0020657133273984424,-0.0035067828583009086
当日沪深300，不限波动率,2020,10,1199,1188,278,0.00838289234725842,-0.01737455180112779,0.4090909090909091,0.0067703666086589885,0.0014731128744904889
当日沪深300，不限波动率,2020,20,1199,1196,278,0.007241529145538832,-0.022126176137227782,0.4096989966555184,0.0056308285842146515,-0.007598673616105047
当日沪深300，不限波动率,2021,1,915,915,265,0.0027660942046645984,0.0,0.4972677595628415,0.001162550403027988,0.0019873743616440017
当日沪深300，不限波动率,2021,3,915,912,265,0.0075644724891589035,0.0021712557045503456,0.5230263157894737,0.005953255502518857,0.005946793860514429
当日沪深300，不限波动率,2021,5,915,912,265,0.008948462648803812,0.0017040473962202096,0.5087719298245614,0.007335032495150184,0.007760075002807423
当日沪深300，不限波动率,2021,10,915,914,265,0.011212845694251546,7.678720067694211e-05,0.5010940919037199,0.009595794519286925,0.0158640203701686
当日沪深300，不限波动率,2021,20,915,914,265,0.006626361608986365,-0.00878895137861202,0.4638949671772429,0.005016644774670802,0.015519818615644962
当日沪深300，不限波动率,2022,1,622,622,254,0.0036037844821903485,0.00013934545143901023,0.5016077170418006,0.00199890111287192,0.001794930512877325
当日沪深300，不限波动率,2022,3,622,620,254,0.0007739781056107894,-0.0027248146289214903,0.4693548387096774,-0.0008263800623658453,-0.00257280299584581
当日沪深300，不限波动率,2022,5,622,620,254,-0.003969687488008446,-0.0046923161219461496,0.4532258064516129,-0.0055624599631663415,-0.006167226134934143
当日沪深300，不限波动率,2022,10,622,621,254,-0.008028739671073747,-0.007380536979207819,0.44605475040257647,-0.009615021232741163,-0.010778012375910386
当日沪深300，不限波动率,2022,20,622,621,254,-0.01593621842149777,-0.021076326972902515,0.44122383252818037,-0.01750985497192068,-0.01407581331358457
当日沪深300，不限波动率,2023,1,801,801,240,0.0029775445359909052,0.0009842434964513203,0.5081148564294632,0.0013736625997981832,0.0036954657399631235
当日沪深300，不限波动率,2023,3,801,801,240,0.009281841017897297,0.0007524387417188194,0.5068664169787765,0.007667877752064829,0.011304843983611998
当日沪深300，不限波动率,2023,5,801,801,240,0.011276345667042938,-0.001655615161078483,0.4818976279650437,0.009659192947971117,0.01532316283236998
当日沪深300，不限波动率,2023,10,801,801,240,0.006353784096518737,-0.006214158958171123,0.4544319600499376,0.004744503146486783,0.017604290862298456
当日沪深300，不限波动率,2023,20,801,801,240,-0.008281551297602448,-0.02638541453553922,0.39325842696629215,-0.00986742858301935,0.012878156988895138
当日沪深300，不限波动率,2024,1,1073,1073,276,-0.005603528395681765,-0.0046920413211943846,0.42218080149114634,-0.00719368816237704,0.0006597925237255536
当日沪深300，不限波动率,2024,3,1073,1073,276,-0.006441636255498164,-0.01985577801829952,0.34855545200372784,-0.008030455786747217,-0.004506222800769082
当日沪深300，不限波动率,2024,5,1073,1073,276,-0.006451164814524047,-0.021155733654009024,0.37744641192917056,-0.008039969108459184,-0.0007032690920220167
当日沪深300，不限波动率,2024,10,1073,1073,276,-0.0016841334208814456,-0.015604427027483658,0.42218080149114634,-0.003280560772364761,-0.005027555931285733
当日沪深300，不限波动率,2024,20,1073,1073,276,0.027299039694295382,0.00499769036211517,0.5153774464119292,0.025656264756999978,0.00538104662157019
当日沪深300，不限波动率,2025,1,709,705,236,0.0042815112593081696,0.0,0.4921985815602837,0.0026755441232180826,0.0028480111941491825
当日沪深300，不限波动率,2025,3,709,702,236,0.006984098698993998,-0.0019220852913039987,0.47435897435897434,0.005373809799970025,0.002479245606154322
当日沪深300，不限波动率,2025,5,709,701,236,0.007575279442192921,-0.0022484484072340383,0.48359486447931527,0.0059640451739329135,-0.0003107453844815529
当日沪深300，不限波动率,2025,10,709,701,236,0.015323011146506202,-0.0017321729884377524,0.4864479315263909,0.01369938732177535,0.002247892194800855
当日沪深300，不限波动率,2025,20,709,704,236,0.0264047221456762,0.006570094389719006,0.5326704545454546,0.024763377329891756,-0.0017835308166049854
